season,md,home_team,away_team,home_goals,away_goals
1963/1964,1,1. FC Saarbrücken,1. FC Cologne,0,2
1963/1964,1,TSV 1860 München,Eintracht Braunschweig,1,1
1963/1964,1,Eintracht Frankfurt,1. FC Kaiserslautern,1,1
1963/1964,1,FC Schalke 04,VfB Stuttgart,2,0
1963/1964,1,SC Preußen Münster,Hamburger SV,1,1
1963/1964,1,Karlsruher SC,Meidericher SV,1,4
1963/1964,1,SV Werder Bremen,Borussia Dortmund,3,2
1963/1964,1,Hertha BSC,1. FC Nürnberg,1,1
1963/1964,2,Eintracht Braunschweig,SC Preußen Münster,1,0
1963/1964,2,Meidericher SV,Eintracht Frankfurt,3,1
1963/1964,2,VfB Stuttgart,Hertha BSC,2,0
1963/1964,2,1. FC Kaiserslautern,FC Schalke 04,2,3
1963/1964,2,1. FC Cologne,Karlsruher SC,4,0
1963/1964,2,1. FC Nürnberg,SV Werder Bremen,3,0
1963/1964,2,Hamburger SV,1. FC Saarbrücken,4,2
1963/1964,2,Borussia Dortmund,TSV 1860 München,3,3
1963/1964,3,Eintracht Frankfurt,1. FC Nürnberg,2,3
1963/1964,3,Karlsruher SC,Hamburger SV,0,4
1963/1964,3,FC Schalke 04,Borussia Dortmund,3,1
1963/1964,3,SV Werder Bremen,VfB Stuttgart,2,2
1963/1964,3,Hertha BSC,1. FC Kaiserslautern,2,2
1963/1964,3,SC Preußen Münster,Meidericher SV,4,2
1963/1964,3,1. FC Saarbrücken,Eintracht Braunschweig,2,2
1963/1964,3,TSV 1860 München,1. FC Cologne,1,3
1963/1964,4,Eintracht Braunschweig,Karlsruher SC,2,0
1963/1964,4,1. FC Nürnberg,SC Preußen Münster,2,2
1963/1964,4,1. FC Cologne,FC Schalke 04,2,2
1963/1964,4,Hamburger SV,Eintracht Frankfurt,3,0
1963/1964,4,VfB Stuttgart,TSV 1860 München,1,1
1963/1964,4,Borussia Dortmund,1. FC Saarbrücken,2,1
1963/1964,4,Meidericher SV,Hertha BSC,1,3
1963/1964,4,1. FC Kaiserslautern,SV Werder Bremen,3,0
1963/1964,5,SV Werder Bremen,Meidericher SV,1,1
1963/1964,5,SC Preußen Münster,VfB Stuttgart,4,2
1963/1964,5,FC Schalke 04,Hamburger SV,1,0
1963/1964,5,1. FC Saarbrücken,1. FC Nürnberg,3,5
1963/1964,5,Hertha BSC,1. FC Cologne,0,3
1963/1964,5,Karlsruher SC,Borussia Dortmund,1,3
1963/1964,5,Eintracht Frankfurt,Eintracht Braunschweig,3,0
1963/1964,5,TSV 1860 München,1. FC Kaiserslautern,3,0
1963/1964,6,Meidericher SV,TSV 1860 München,3,0
1963/1964,6,1. FC Kaiserslautern,SC Preußen Münster,0,0
1963/1964,6,VfB Stuttgart,1. FC Saarbrücken,3,1
1963/1964,6,1. FC Nürnberg,Karlsruher SC,2,4
1963/1964,6,1. FC Cologne,SV Werder Bremen,4,3
1963/1964,6,Eintracht Braunschweig,FC Schalke 04,4,3
1963/1964,6,Borussia Dortmund,Eintracht Frankfurt,3,0
1963/1964,6,Hamburger SV,Hertha BSC,5,1
1963/1964,7,Hertha BSC,Eintracht Braunschweig,1,2
1963/1964,7,Eintracht Frankfurt,1. FC Cologne,2,1
1963/1964,7,TSV 1860 München,1. FC Nürnberg,5,0
1963/1964,7,Karlsruher SC,VfB Stuttgart,0,3
1963/1964,7,FC Schalke 04,Meidericher SV,2,2
1963/1964,7,1. FC Saarbrücken,1. FC Kaiserslautern,2,4
1963/1964,7,SV Werder Bremen,Hamburger SV,4,2
1963/1964,7,SC Preußen Münster,Borussia Dortmund,1,2
1963/1964,8,Eintracht Braunschweig,SV Werder Bremen,1,1
1963/1964,8,1. FC Kaiserslautern,Karlsruher SC,1,0
1963/1964,8,1. FC Nürnberg,FC Schalke 04,0,2
1963/1964,8,Borussia Dortmund,Hertha BSC,7,2
1963/1964,8,VfB Stuttgart,Eintracht Frankfurt,0,0
1963/1964,8,1. FC Cologne,SC Preußen Münster,3,0
1963/1964,8,Hamburger SV,TSV 1860 München,5,0
1963/1964,8,Meidericher SV,1. FC Saarbrücken,3,1
1963/1964,9,1. FC Saarbrücken,Karlsruher SC,1,3
1963/1964,9,Hertha BSC,Eintracht Frankfurt,1,3
1963/1964,9,SC Preußen Münster,TSV 1860 München,0,0
1963/1964,9,1. FC Nürnberg,1. FC Kaiserslautern,0,5
1963/1964,9,1. FC Cologne,Meidericher SV,3,3
1963/1964,9,Hamburger SV,Eintracht Braunschweig,2,1
1963/1964,9,VfB Stuttgart,Borussia Dortmund,2,1
1963/1964,9,FC Schalke 04,SV Werder Bremen,2,3
1963/1964,10,Eintracht Frankfurt,FC Schalke 04,4,2
1963/1964,10,Eintracht Braunschweig,1. FC Cologne,1,1
1963/1964,10,Karlsruher SC,SC Preußen Münster,4,2
1963/1964,10,Borussia Dortmund,1. FC Nürnberg,3,1
1963/1964,10,SV Werder Bremen,Hertha BSC,2,2
1963/1964,10,TSV 1860 München,1. FC Saarbrücken,7,1
1963/1964,10,1. FC Kaiserslautern,VfB Stuttgart,1,3
1963/1964,10,Meidericher SV,Hamburger SV,4,0
1963/1964,11,Borussia Dortmund,1. FC Kaiserslautern,9,3
1963/1964,11,SV Werder Bremen,Eintracht Frankfurt,4,1
1963/1964,11,TSV 1860 München,Karlsruher SC,1,0
1963/1964,11,1. FC Cologne,Hamburger SV,4,1
1963/1964,11,Eintracht Braunschweig,Meidericher SV,0,0
1963/1964,11,1. FC Saarbrücken,SC Preußen Münster,1,1
1963/1964,11,VfB Stuttgart,1. FC Nürnberg,1,0
1963/1964,11,FC Schalke 04,Hertha BSC,1,0
1963/1964,12,Karlsruher SC,SV Werder Bremen,1,1
1963/1964,12,1. FC Kaiserslautern,Eintracht Braunschweig,2,1
1963/1964,12,Eintracht Frankfurt,TSV 1860 München,5,2
1963/1964,12,1. FC Nürnberg,1. FC Cologne,2,2
1963/1964,12,Hamburger SV,VfB Stuttgart,1,1
1963/1964,12,Meidericher SV,Borussia Dortmund,3,3
1963/1964,12,SC Preußen Münster,FC Schalke 04,2,2
1963/1964,12,Hertha BSC,1. FC Saarbrücken,3,2
1963/1964,13,1. FC Nürnberg,Meidericher SV,2,0
1963/1964,13,Eintracht Frankfurt,SC Preußen Münster,3,0
1963/1964,13,SV Werder Bremen,1. FC Saarbrücken,0,3
1963/1964,13,VfB Stuttgart,Eintracht Braunschweig,5,0
1963/1964,13,1. FC Kaiserslautern,Hamburger SV,3,2
1963/1964,13,Hertha BSC,Karlsruher SC,2,3
1963/1964,13,FC Schalke 04,TSV 1860 München,2,1
1963/1964,13,Borussia Dortmund,1. FC Cologne,2,3
1963/1964,14,Meidericher SV,VfB Stuttgart,3,0
1963/1964,14,Karlsruher SC,FC Schalke 04,1,1
1963/1964,14,Hamburger SV,Borussia Dortmund,2,1
1963/1964,14,Eintracht Braunschweig,1. FC Nürnberg,2,0
1963/1964,14,1. FC Cologne,1. FC Kaiserslautern,5,1
1963/1964,14,1. FC Saarbrücken,Eintracht Frankfurt,0,4
1963/1964,14,TSV 1860 München,Hertha BSC,1,2
1963/1964,14,SC Preußen Münster,SV Werder Bremen,1,3
1963/1964,15,VfB Stuttgart,1. FC Cologne,0,1
1963/1964,15,FC Schalke 04,1. FC Saarbrücken,4,1
1963/1964,15,Hertha BSC,SC Preußen Münster,2,0
1963/1964,15,1. FC Nürnberg,Hamburger SV,3,2
1963/1964,15,Eintracht Frankfurt,Karlsruher SC,0,3
1963/1964,15,SV Werder Bremen,TSV 1860 München,4,1
1963/1964,15,1. FC Kaiserslautern,Meidericher SV,1,1
1963/1964,15,Borussia Dortmund,Eintracht Braunschweig,3,0
1963/1964,16,1. FC Kaiserslautern,Eintracht Frankfurt,1,1
1963/1964,16,Borussia Dortmund,SV Werder Bremen,4,3
1963/1964,16,1. FC Cologne,1. FC Saarbrücken,1,3
1963/1964,16,Hamburger SV,SC Preußen Münster,5,0
1963/1964,16,Meidericher SV,Karlsruher SC,2,0
1963/1964,16,1. FC Nürnberg,Hertha BSC,2,3
1963/1964,16,Eintracht Braunschweig,TSV 1860 München,0,1
1963/1964,16,VfB Stuttgart,FC Schalke 04,2,0
1963/1964,17,SV Werder Bremen,1. FC Nürnberg,2,1
1963/1964,17,SC Preußen Münster,Eintracht Braunschweig,0,2
1963/1964,17,Hertha BSC,VfB Stuttgart,0,2
1963/1964,17,FC Schalke 04,1. FC Kaiserslautern,4,0
1963/1964,17,Karlsruher SC,1. FC Cologne,2,2
1963/1964,17,TSV 1860 München,Borussia Dortmund,6,1
1963/1964,17,1. FC Saarbrücken,Hamburger SV,1,1
1963/1964,17,Eintracht Frankfurt,Meidericher SV,2,2
1963/1964,18,Borussia Dortmund,FC Schalke 04,3,0
1963/1964,18,Meidericher SV,SC Preußen Münster,0,0
1963/1964,18,1. FC Kaiserslautern,Hertha BSC,3,0
1963/1964,18,Eintracht Braunschweig,1. FC Saarbrücken,3,1
