season,md,home_team,away_team,home_goals,away_goals
1974/1975 Nord,1,Hannover 96,Alemannia Aachen,3,0
1974/1975 Nord,1,FC Bayer 05 Uerdingen,SC Preußen Münster,3,1
1974/1975 Nord,1,Olympia Wilhelmshaven,SpVgg Erkenschwick,1,2
1974/1975 Nord,1,1. SC Göttingen 05,DJK Gütersloh,5,2
1974/1975 Nord,1,Schwarz-Weiss Essen,VfL Wolfsburg,0,0
1974/1975 Nord,1,Wacker 04 Berlin,Rot-Weiß Oberhausen,1,1
1974/1975 Nord,1,Fortuna Cologne,HSV Barmbek-Uhlenhorst,4,0
1974/1975 Nord,1,FC St. Pauli,SG Wattenscheid 09,1,3
1974/1975 Nord,1,Arminia Bielefeld,Borussia Dortmund,1,1
1974/1975 Nord,1,1. FC Mülheim,VfL Osnabrück,1,0
1974/1975 Nord,2,DJK Gütersloh,FC St. Pauli,2,2
1974/1975 Nord,2,Alemannia Aachen,Fortuna Cologne,1,1
1974/1975 Nord,2,SpVgg Erkenschwick,Schwarz-Weiss Essen,2,1
1974/1975 Nord,2,Borussia Dortmund,Hannover 96,3,1
1974/1975 Nord,2,SC Preußen Münster,Wacker 04 Berlin,1,1
1974/1975 Nord,2,VfL Wolfsburg,1. FC Mülheim,1,0
1974/1975 Nord,2,SG Wattenscheid 09,Olympia Wilhelmshaven,2,2
1974/1975 Nord,2,Rot-Weiß Oberhausen,Arminia Bielefeld,2,2
1974/1975 Nord,2,VfL Osnabrück,FC Bayer 05 Uerdingen,2,0
1974/1975 Nord,2,HSV Barmbek-Uhlenhorst,1. SC Göttingen 05,2,1
1974/1975 Nord,3,1. SC Göttingen 05,FC St. Pauli,5,0
1974/1975 Nord,3,Hannover 96,Rot-Weiß Oberhausen,5,2
1974/1975 Nord,3,Fortuna Cologne,Borussia Dortmund,2,0
1974/1975 Nord,3,1. FC Mülheim,SpVgg Erkenschwick,3,1
1974/1975 Nord,3,Schwarz-Weiss Essen,SG Wattenscheid 09,2,0
1974/1975 Nord,3,Arminia Bielefeld,SC Preußen Münster,3,2
1974/1975 Nord,3,HSV Barmbek-Uhlenhorst,Alemannia Aachen,2,1
1974/1975 Nord,3,FC Bayer 05 Uerdingen,VfL Wolfsburg,4,1
1974/1975 Nord,3,Olympia Wilhelmshaven,DJK Gütersloh,2,1
1974/1975 Nord,3,Wacker 04 Berlin,VfL Osnabrück,2,1
1974/1975 Nord,4,FC St. Pauli,Olympia Wilhelmshaven,2,1
1974/1975 Nord,4,VfL Wolfsburg,Wacker 04 Berlin,3,1
1974/1975 Nord,4,Rot-Weiß Oberhausen,Fortuna Cologne,1,2
1974/1975 Nord,4,SC Preußen Münster,Hannover 96,1,1
1974/1975 Nord,4,Borussia Dortmund,HSV Barmbek-Uhlenhorst,2,1
1974/1975 Nord,4,DJK Gütersloh,Schwarz-Weiss Essen,3,1
1974/1975 Nord,4,VfL Osnabrück,Arminia Bielefeld,1,1
1974/1975 Nord,4,SG Wattenscheid 09,1. FC Mülheim,3,2
1974/1975 Nord,4,Alemannia Aachen,1. SC Göttingen 05,0,2
1974/1975 Nord,4,SpVgg Erkenschwick,FC Bayer 05 Uerdingen,1,3
1974/1975 Nord,5,1. FC Mülheim,DJK Gütersloh,1,0
1974/1975 Nord,5,Alemannia Aachen,Borussia Dortmund,0,1
1974/1975 Nord,5,FC Bayer 05 Uerdingen,SG Wattenscheid 09,1,0
1974/1975 Nord,5,Fortuna Cologne,SC Preußen Münster,4,1
1974/1975 Nord,5,Schwarz-Weiss Essen,FC St. Pauli,1,1
1974/1975 Nord,5,Wacker 04 Berlin,SpVgg Erkenschwick,0,1
1974/1975 Nord,5,HSV Barmbek-Uhlenhorst,Rot-Weiß Oberhausen,0,1
1974/1975 Nord,5,1. SC Göttingen 05,Olympia Wilhelmshaven,5,2
1974/1975 Nord,5,Arminia Bielefeld,VfL Wolfsburg,1,1
1974/1975 Nord,5,Hannover 96,VfL Osnabrück,2,0
1974/1975 Nord,6,Rot-Weiß Oberhausen,Alemannia Aachen,2,1
1974/1975 Nord,6,FC St. Pauli,1. FC Mülheim,3,1
1974/1975 Nord,6,VfL Wolfsburg,Hannover 96,3,4
1974/1975 Nord,6,SG Wattenscheid 09,Wacker 04 Berlin,2,1
1974/1975 Nord,6,SC Preußen Münster,HSV Barmbek-Uhlenhorst,1,1
1974/1975 Nord,6,VfL Osnabrück,Fortuna Cologne,0,2
1974/1975 Nord,6,SpVgg Erkenschwick,Arminia Bielefeld,0,2
1974/1975 Nord,6,Olympia Wilhelmshaven,Schwarz-Weiss Essen,5,2
1974/1975 Nord,6,Borussia Dortmund,1. SC Göttingen 05,2,2
1974/1975 Nord,6,DJK Gütersloh,FC Bayer 05 Uerdingen,1,1
1974/1975 Nord,7,1. FC Mülheim,Olympia Wilhelmshaven,1,0
1974/1975 Nord,7,Wacker 04 Berlin,DJK Gütersloh,1,0
1974/1975 Nord,7,HSV Barmbek-Uhlenhorst,VfL Osnabrück,1,3
1974/1975 Nord,7,Alemannia Aachen,SC Preußen Münster,2,1
1974/1975 Nord,7,Arminia Bielefeld,SG Wattenscheid 09,1,1
1974/1975 Nord,7,Hannover 96,SpVgg Erkenschwick,7,1
1974/1975 Nord,7,1. SC Göttingen 05,Schwarz-Weiss Essen,1,1
1974/1975 Nord,7,Fortuna Cologne,VfL Wolfsburg,2,1
1974/1975 Nord,7,FC Bayer 05 Uerdingen,FC St. Pauli,2,0
1974/1975 Nord,7,Borussia Dortmund,Rot-Weiß Oberhausen,4,0
1974/1975 Nord,8,Olympia Wilhelmshaven,FC Bayer 05 Uerdingen,2,4
1974/1975 Nord,8,VfL Osnabrück,Alemannia Aachen,2,0
1974/1975 Nord,8,Rot-Weiß Oberhausen,1. SC Göttingen 05,1,0
1974/1975 Nord,8,FC St. Pauli,Wacker 04 Berlin,1,2
1974/1975 Nord,8,DJK Gütersloh,Arminia Bielefeld,1,2
1974/1975 Nord,8,SC Preußen Münster,Borussia Dortmund,1,0
1974/1975 Nord,8,Schwarz-Weiss Essen,1. FC Mülheim,2,1
1974/1975 Nord,8,SpVgg Erkenschwick,Fortuna Cologne,5,2
1974/1975 Nord,8,SG Wattenscheid 09,Hannover 96,1,3
1974/1975 Nord,8,VfL Wolfsburg,HSV Barmbek-Uhlenhorst,2,0
1974/1975 Nord,9,Wacker 04 Berlin,Olympia Wilhelmshaven,3,0
1974/1975 Nord,9,FC Bayer 05 Uerdingen,Schwarz-Weiss Essen,3,0
1974/1975 Nord,9,HSV Barmbek-Uhlenhorst,SpVgg Erkenschwick,3,2
1974/1975 Nord,9,Borussia Dortmund,VfL Osnabrück,3,1
1974/1975 Nord,9,1. SC Göttingen 05,1. FC Mülheim,2,0
1974/1975 Nord,9,Alemannia Aachen,VfL Wolfsburg,2,1
1974/1975 Nord,9,Fortuna Cologne,SG Wattenscheid 09,2,0
1974/1975 Nord,9,Hannover 96,DJK Gütersloh,6,1
1974/1975 Nord,9,Rot-Weiß Oberhausen,SC Preußen Münster,2,1
1974/1975 Nord,9,Arminia Bielefeld,FC St. Pauli,1,1
1974/1975 Nord,10,SC Preußen Münster,1. SC Göttingen 05,3,0
