season,md,home_team,away_team,home_goals,away_goals
2008/2009,1,Fortuna Dusseldorf,SC Paderborn 07,1,4
2008/2009,1,VfB Stuttgart,Kickers Offenbach,1,1
2008/2009,1,SpVgg Unterhaching,Werder Bremen,3,0
2008/2009,1,SV Sandhausen,VfR Aalen,1,2
2008/2009,1,Jahn Regensburg,FC Carl Zeiss Jena,2,2
2008/2009,1,Erzgebirge Aue,Eintracht Braunschweig,0,2
2008/2009,1,Kickers Emden,Wuppertaler SV Borussia,1,0
2008/2009,1,Wacker Burghausen,Stuttgarter Kickers,2,0
2008/2009,1,Rot-Weiß Erfurt,SG Dynamo Dresden,0,1
2008/2009,1,Bayern München II,1. FC Union Berlin,2,1
2008/2009,2,SG Dynamo Dresden,Kickers Emden,1,2
2008/2009,2,SC Paderborn 07,SpVgg Unterhaching,1,1
2008/2009,2,Wuppertaler SV Borussia,Bayern München II,2,2
2008/2009,2,FC Carl Zeiss Jena,Erzgebirge Aue,3,2
2008/2009,2,Kickers Offenbach,Wacker Burghausen,2,0
2008/2009,2,Stuttgarter Kickers,Fortuna Dusseldorf,0,2
2008/2009,2,VfR Aalen,Jahn Regensburg,1,1
2008/2009,2,1. FC Union Berlin,VfB Stuttgart,3,1
2008/2009,2,Eintracht Braunschweig,Rot-Weiß Erfurt,1,1
2008/2009,2,Werder Bremen,SV Sandhausen,4,3
2008/2009,3,Erzgebirge Aue,VfR Aalen,0,0
2008/2009,3,SpVgg Unterhaching,Stuttgarter Kickers,2,0
2008/2009,3,Kickers Emden,Eintracht Braunschweig,1,0
2008/2009,3,Wacker Burghausen,Fortuna Dusseldorf,0,4
2008/2009,3,Bayern München II,SG Dynamo Dresden,1,0
2008/2009,3,VfB Stuttgart,Wuppertaler SV Borussia,2,0
2008/2009,3,Kickers Offenbach,1. FC Union Berlin,1,1
2008/2009,3,SV Sandhausen,SC Paderborn 07,4,0
2008/2009,3,Jahn Regensburg,Werder Bremen,1,0
2008/2009,3,Rot-Weiß Erfurt,FC Carl Zeiss Jena,2,1
2008/2009,4,VfR Aalen,Rot-Weiß Erfurt,0,2
2008/2009,4,Werder Bremen,Erzgebirge Aue,4,2
2008/2009,4,SC Paderborn 07,Jahn Regensburg,3,1
2008/2009,4,Fortuna Dusseldorf,SpVgg Unterhaching,0,0
2008/2009,4,SG Dynamo Dresden,VfB Stuttgart,1,0
2008/2009,4,Eintracht Braunschweig,Bayern München II,0,1
2008/2009,4,FC Carl Zeiss Jena,Kickers Emden,1,1
2008/2009,4,Stuttgarter Kickers,SV Sandhausen,0,1
2008/2009,4,1. FC Union Berlin,Wacker Burghausen,4,0
2008/2009,4,Wuppertaler SV Borussia,Kickers Offenbach,2,1
2008/2009,5,Bayern München II,FC Carl Zeiss Jena,2,1
2008/2009,5,Kickers Offenbach,SG Dynamo Dresden,2,2
2008/2009,5,VfB Stuttgart,Eintracht Braunschweig,4,0
2008/2009,5,Wacker Burghausen,SpVgg Unterhaching,5,1
2008/2009,5,Kickers Emden,VfR Aalen,5,2
2008/2009,5,SV Sandhausen,Fortuna Dusseldorf,2,0
2008/2009,5,Erzgebirge Aue,SC Paderborn 07,0,2
2008/2009,5,1. FC Union Berlin,Wuppertaler SV Borussia,0,0
2008/2009,5,Jahn Regensburg,Stuttgarter Kickers,1,1
2008/2009,5,Rot-Weiß Erfurt,Werder Bremen,3,1
2008/2009,6,Eintracht Braunschweig,Kickers Offenbach,4,0
2008/2009,6,SpVgg Unterhaching,SV Sandhausen,2,0
2008/2009,6,Fortuna Dusseldorf,Jahn Regensburg,3,1
2008/2009,6,Werder Bremen,Kickers Emden,0,1
2008/2009,6,FC Carl Zeiss Jena,VfB Stuttgart,0,6
2008/2009,6,SC Paderborn 07,Rot-Weiß Erfurt,2,0
2008/2009,6,Wuppertaler SV Borussia,Wacker Burghausen,2,4
2008/2009,6,SG Dynamo Dresden,1. FC Union Berlin,0,1
2008/2009,6,Stuttgarter Kickers,Erzgebirge Aue,1,2
2008/2009,6,VfR Aalen,Bayern München II,0,0
2008/2009,7,1. FC Union Berlin,Eintracht Braunschweig,1,1
2008/2009,7,Wuppertaler SV Borussia,SG Dynamo Dresden,1,0
2008/2009,7,Wacker Burghausen,SV Sandhausen,2,3
2008/2009,7,VfB Stuttgart,VfR Aalen,0,0
2008/2009,7,Kickers Offenbach,FC Carl Zeiss Jena,2,1
2008/2009,7,Jahn Regensburg,SpVgg Unterhaching,1,2
2008/2009,7,Erzgebirge Aue,Fortuna Dusseldorf,0,1
2008/2009,7,Rot-Weiß Erfurt,Stuttgarter Kickers,3,2
2008/2009,7,Kickers Emden,SC Paderborn 07,1,2
2008/2009,7,Bayern München II,Werder Bremen,1,1
2008/2009,8,SpVgg Unterhaching,Erzgebirge Aue,1,1
2008/2009,8,Werder Bremen,VfB Stuttgart,4,5
2008/2009,8,Eintracht Braunschweig,Wuppertaler SV Borussia,2,1
2008/2009,8,SG Dynamo Dresden,Wacker Burghausen,3,1
2008/2009,8,SV Sandhausen,Jahn Regensburg,3,0
