season,md,position,team,played,won,draw,lost,gf,ga,gd,points
1974/1975 Nord,1,1,Fortuna Cologne,1,1,0,0,4,0,4,2
1974/1975 Nord,1,2,1. SC Göttingen 05,1,1,0,0,5,2,3,2
1974/1975 Nord,1,3,Hannover 96,1,1,0,0,3,0,3,2
1974/1975 Nord,1,4,SG Wattenscheid 09,1,1,0,0,3,1,2,2
1974/1975 Nord,1,5,FC Bayer 05 Uerdingen,1,1,0,0,3,1,2,2
1974/1975 Nord,1,6,SpVgg Erkenschwick,1,1,0,0,2,1,1,2
1974/1975 Nord,1,7,1. FC Mülheim,1,1,0,0,1,0,1,2
1974/1975 Nord,1,8,Rot-Weiß Oberhausen,1,0,1,0,1,1,0,1
1974/1975 Nord,1,9,Borussia Dortmund,1,0,1,0,1,1,0,1
1974/1975 Nord,1,10,Wacker 04 Berlin,1,0,1,0,1,1,0,1
1974/1975 Nord,1,11,Arminia Bielefeld,1,0,1,0,1,1,0,1
1974/1975 Nord,1,12,VfL Wolfsburg,1,0,1,0,0,0,0,1
1974/1975 Nord,1,13,Schwarz-Weiss Essen,1,0,1,0,0,0,0,1
1974/1975 Nord,1,14,Olympia Wilhelmshaven,1,0,0,1,1,2,-1,0
1974/1975 Nord,1,15,VfL Osnabrück,1,0,0,1,0,1,-1,0
1974/1975 Nord,1,16,SC Preußen Münster,1,0,0,1,1,3,-2,0
1974/1975 Nord,1,17,FC St. Pauli,1,0,0,1,1,3,-2,0
1974/1975 Nord,1,18,DJK Gütersloh,1,0,0,1,2,5,-3,0
1974/1975 Nord,1,19,Alemannia Aachen,1,0,0,1,0,3,-3,0
1974/1975 Nord,1,20,HSV Barmbek-Uhlenhorst,1,0,0,1,0,4,-4,0
1974/1975 Nord,2,1,SpVgg Erkenschwick,2,2,0,0,4,2,2,4
1974/1975 Nord,2,2,Fortuna Cologne,2,1,1,0,5,1,4,3
1974/1975 Nord,2,3,SG Wattenscheid 09,2,1,1,0,5,3,2,3
1974/1975 Nord,2,4,Borussia Dortmund,2,1,1,0,4,2,2,3
1974/1975 Nord,2,5,VfL Wolfsburg,2,1,1,0,1,0,1,3
1974/1975 Nord,2,6,1. SC Göttingen 05,2,1,0,1,6,4,2,2
1974/1975 Nord,2,7,Hannover 96,2,1,0,1,4,3,1,2
1974/1975 Nord,2,8,VfL Osnabrück,2,1,0,1,2,1,1,2
1974/1975 Nord,2,9,Arminia Bielefeld,2,0,2,0,3,3,0,2
1974/1975 Nord,2,10,Rot-Weiß Oberhausen,2,0,2,0,3,3,0,2
1974/1975 Nord,2,11,FC Bayer 05 Uerdingen,2,1,0,1,3,3,0,2
1974/1975 Nord,2,12,Wacker 04 Berlin,2,0,2,0,2,2,0,2
1974/1975 Nord,2,13,1. FC Mülheim,2,1,0,1,1,1,0,2
1974/1975 Nord,2,14,HSV Barmbek-Uhlenhorst,2,1,0,1,2,5,-3,2
1974/1975 Nord,2,15,Olympia Wilhelmshaven,2,0,1,1,3,4,-1,1
1974/1975 Nord,2,16,Schwarz-Weiss Essen,2,0,1,1,1,2,-1,1
1974/1975 Nord,2,17,FC St. Pauli,2,0,1,1,3,5,-2,1
1974/1975 Nord,2,18,SC Preußen Münster,2,0,1,1,2,4,-2,1
1974/1975 Nord,2,19,DJK Gütersloh,2,0,1,1,4,7,-3,1
1974/1975 Nord,2,20,Alemannia Aachen,2,0,1,1,1,4,-3,1
1974/1975 Nord,3,1,Fortuna Cologne,3,2,1,0,7,1,6,5
1974/1975 Nord,3,2,1. SC Göttingen 05,3,2,0,1,11,4,7,4
1974/1975 Nord,3,3,Hannover 96,3,2,0,1,9,5,4,4
1974/1975 Nord,3,4,FC Bayer 05 Uerdingen,3,2,0,1,7,4,3,4
1974/1975 Nord,3,5,1. FC Mülheim,3,2,0,1,4,2,2,4
1974/1975 Nord,3,6,Arminia Bielefeld,3,1,2,0,6,5,1,4
1974/1975 Nord,3,7,Wacker 04 Berlin,3,1,2,0,4,3,1,4
1974/1975 Nord,3,8,SpVgg Erkenschwick,3,2,0,1,5,5,0,4
1974/1975 Nord,3,9,HSV Barmbek-Uhlenhorst,3,2,0,1,4,6,-2,4
1974/1975 Nord,3,10,Schwarz-Weiss Essen,3,1,1,1,3,2,1,3
1974/1975 Nord,3,11,SG Wattenscheid 09,3,1,1,1,5,5,0,3
1974/1975 Nord,3,12,Olympia Wilhelmshaven,3,1,1,1,5,5,0,3
1974/1975 Nord,3,13,Borussia Dortmund,3,1,1,1,4,4,0,3
1974/1975 Nord,3,14,VfL Wolfsburg,3,1,1,1,2,4,-2,3
1974/1975 Nord,3,15,VfL Osnabrück,3,1,0,2,3,3,0,2
1974/1975 Nord,3,16,Rot-Weiß Oberhausen,3,0,2,1,5,8,-3,2
1974/1975 Nord,3,17,SC Preußen Münster,3,0,1,2,4,7,-3,1
1974/1975 Nord,3,18,DJK Gütersloh,3,0,1,2,5,9,-4,1
1974/1975 Nord,3,19,Alemannia Aachen,3,0,1,2,2,6,-4,1
1974/1975 Nord,3,20,FC St. Pauli,3,0,1,2,3,10,-7,1
1974/1975 Nord,4,1,Fortuna Cologne,4,3,1,0,9,2,7,7
1974/1975 Nord,4,2,1. SC Göttingen 05,4,3,0,1,13,4,9,6
1974/1975 Nord,4,3,FC Bayer 05 Uerdingen,4,3,0,1,10,5,5,6
1974/1975 Nord,4,4,Hannover 96,4,2,1,1,10,6,4,5
1974/1975 Nord,4,5,SG Wattenscheid 09,4,2,1,1,8,7,1,5
1974/1975 Nord,4,6,Arminia Bielefeld,4,1,3,0,7,6,1,5
1974/1975 Nord,4,7,Borussia Dortmund,4,2,1,1,6,5,1,5
1974/1975 Nord,4,8,VfL Wolfsburg,4,2,1,1,5,5,0,5
1974/1975 Nord,4,9,1. FC Mülheim,4,2,0,2,6,5,1,4
1974/1975 Nord,4,10,Wacker 04 Berlin,4,1,2,1,5,6,-1,4
1974/1975 Nord,4,11,SpVgg Erkenschwick,4,2,0,2,6,8,-2,4
1974/1975 Nord,4,12,HSV Barmbek-Uhlenhorst,4,2,0,2,5,8,-3,4
1974/1975 Nord,4,13,VfL Osnabrück,4,1,1,2,4,4,0,3
1974/1975 Nord,4,14,Olympia Wilhelmshaven,4,1,1,2,6,7,-1,3
1974/1975 Nord,4,15,Schwarz-Weiss Essen,4,1,1,2,4,5,-1,3
1974/1975 Nord,4,16,DJK Gütersloh,4,1,1,2,8,10,-2,3
1974/1975 Nord,4,17,FC St. Pauli,4,1,1,2,5,11,-6,3
1974/1975 Nord,4,18,SC Preußen Münster,4,0,2,2,5,8,-3,2
1974/1975 Nord,4,19,Rot-Weiß Oberhausen,4,0,2,2,6,10,-4,2
1974/1975 Nord,4,20,Alemannia Aachen,4,0,1,3,2,8,-6,1
1974/1975 Nord,5,1,Fortuna Cologne,5,4,1,0,13,3,10,9
1974/1975 Nord,5,2,1. SC Göttingen 05,5,4,0,1,18,6,12,8
1974/1975 Nord,5,3,FC Bayer 05 Uerdingen,5,4,0,1,11,5,6,8
1974/1975 Nord,5,4,Hannover 96,5,3,1,1,12,6,6,7
1974/1975 Nord,5,5,Borussia Dortmund,5,3,1,1,7,5,2,7
1974/1975 Nord,5,6,1. FC Mülheim,5,3,0,2,7,5,2,6
1974/1975 Nord,5,7,Arminia Bielefeld,5,1,4,0,8,7,1,6
1974/1975 Nord,5,8,VfL Wolfsburg,5,2,2,1,6,6,0,6
1974/1975 Nord,5,9,SpVgg Erkenschwick,5,3,0,2,7,8,-1,6
1974/1975 Nord,5,10,SG Wattenscheid 09,5,2,1,2,8,8,0,5
1974/1975 Nord,5,11,Schwarz-Weiss Essen,5,1,2,2,5,6,-1,4
1974/1975 Nord,5,12,Wacker 04 Berlin,5,1,2,2,5,7,-2,4
1974/1975 Nord,5,13,Rot-Weiß Oberhausen,5,1,2,2,7,10,-3,4
1974/1975 Nord,5,14,HSV Barmbek-Uhlenhorst,5,2,0,3,5,9,-4,4
1974/1975 Nord,5,15,FC St. Pauli,5,1,2,2,6,12,-6,4
